question,answer
What is a car?,A car is a motor vehicle designed primarily for transporting people and typically has four wheels.
What are the main types of cars?,"The main types of cars include sedans, hatchbacks, SUVs, coupes, convertibles, and trucks."
What is an engine?,An engine is a machine that converts fuel into mechanical energy to power a vehicle.
What is a petrol engine?,A petrol engine uses gasoline as fuel and operates using spark ignition.
What is a diesel engine?,A diesel engine uses diesel fuel and ignites fuel through compression rather than sparks.
What is an electric car?,An electric car is powered entirely by electricity stored in batteries.
What is a hybrid car?,A hybrid car uses both an internal combustion engine and an electric motor.
What is an automatic transmission?,An automatic transmission automatically changes gear ratios without driver intervention.
What is a manual transmission?,A manual transmission requires the driver to manually shift gears using a clutch.
What is mileage in cars?,Mileage refers to how far a car can travel per unit of fuel.
What is torque?,Torque is the rotational force produced by an engine that helps move the car.
What is horsepower?,Horsepower is a measure of the engine’s power output.
What is braking system?,The braking system slows down or stops a vehicle using friction.
What is ABS?,ABS (Anti-lock Braking System) prevents wheels from locking during sudden braking.
What is airbag?,An airbag is a safety device that inflates during a collision to protect occupants.
What is car suspension?,Suspension is the system that absorbs shocks and provides a smooth ride.
What is wheel alignment?,Wheel alignment adjusts the angles of wheels to ensure proper handling and tire wear.
What is car insurance?,Car insurance provides financial protection against accidents and damages.
What is fuel efficiency?,Fuel efficiency measures how effectively a car uses fuel.
What is a clutch?,A clutch connects and disconnects engine power from the wheels.
What is steering system?,The steering system allows the driver to control the direction of the vehicle.
What is cruise control?,Cruise control automatically maintains a set driving speed.
What is traction control?,Traction control prevents wheel spin during acceleration.
What is an SUV?,An SUV is a sports utility vehicle designed for both on-road and off-road use.
What is a sedan?,A sedan is a passenger car with four doors and a separate trunk.
What is a hatchback?,A hatchback is a car with a rear door that opens upward to access cargo space.
What is an electric vehicle battery?,An electric vehicle battery stores energy used to power the electric motor.
What is regenerative braking?,Regenerative braking recovers energy during braking and stores it in the battery.
Why are regular car services important?,"Regular servicing ensures safety, reliability, and optimal vehicle performance."
How do cars impact the environment?,"impact.Cars contribute to air pollution and carbon emissions, but electric and hybrid cars reduce environmental "
