question,answer
What is a plant?,A plant is a living organism that belongs to the kingdom Plantae and typically produces its own food through photosynthesis.
What is photosynthesis?,"Photosynthesis is the process by which green plants use sunlight, carbon dioxide, and water to produce food and oxygen."
What are the main parts of a plant?,"The main parts of a plant are roots, stem, leaves, flowers, fruits, and seeds."
What is the function of roots?,Roots anchor the plant in the soil and absorb water and minerals needed for growth.
What is the role of the stem?,"The stem supports the plant and transports water, minerals, and food between roots and leaves."
Why are leaves important for plants?,Leaves are the primary site of photosynthesis and help in gas exchange and transpiration.
What is transpiration?,Transpiration is the process by which plants lose water vapor through small openings in their leaves called stomata.
What are stomata?,Stomata are tiny pores on the surface of leaves that regulate gas exchange and water loss.
What is chlorophyll?,Chlorophyll is a green pigment in plant leaves that absorbs sunlight for photosynthesis.
Why are plants green?,Plants appear green because chlorophyll reflects green light and absorbs red and blue light.
What are flowering plants?,Flowering plants are plants that produce flowers and seeds enclosed within fruits.
What are non-flowering plants?,Non-flowering plants reproduce through spores and do not produce flowers or fruits.
What is pollination?,"Pollination is the transfer of pollen from the male part of a flower to the female part, enabling fertilization."
What is fertilization in plants?,Fertilization is the fusion of male and female gametes to form a seed.
What is a seed?,A seed is a fertilized ovule that can grow into a new plant under suitable conditions.
What is germination?,Germination is the process by which a seed develops into a new plant.
What are nutrients required by plants?,"Plants require nutrients such as nitrogen, phosphorus, potassium, calcium, magnesium, and iron."
What is soil?,"Soil is a natural medium composed of minerals, organic matter, air, and water that supports plant growth."
What is the role of water in plants?,"Water helps in photosynthesis, nutrient transport, and maintaining plant structure."
What are medicinal plants?,Medicinal plants are plants used in traditional and modern medicine to treat diseases.
What are aquatic plants?,"Aquatic plants are plants that grow in water bodies such as ponds, lakes, and rivers."
What are desert plants?,Desert plants are adapted to survive in dry environments with very little water.
What is a cactus?,A cactus is a desert plant adapted to store water and reduce water loss.
What is a herb?,"A herb is a small plant with soft, green stems."
What is a shrub?,A shrub is a medium-sized woody plant with multiple stems.
What is a tree?,A tree is a tall woody plant with a single main trunk.
What are climbers?,Climbers are plants with weak stems that grow with the support of other objects.
What are creepers?,Creepers are plants that spread along the ground due to weak stems.
Why are plants important for life?,"Plants provide oxygen, food, medicine, shelter, and maintain ecological balance."
How do plants help the environment?,"Plants reduce carbon dioxide, prevent soil erosion, and support biodiversity."
